Offset,Time
+0.002,16:33:59.874637
+0.000,16:34:00.912047
+0.001,16:34:01.950947
-0.015,16:34:03.056263
+0.001,16:34:04.093781
+0.047,16:34:05.223178
+0.003,16:34:06.263204
+0.003,16:34:07.302667
+0.001,16:34:08.345447
+0.002,16:34:09.400074
+0.003,16:34:10.439965
+0.001,16:34:11.475978
+0.002,16:34:12.519323
+0.003,16:34:13.561074
+0.003,16:34:14.597005
+0.004,16:34:15.637959
-0.046,16:34:16.786857
+0.001,16:34:17.830527
+0.003,16:34:18.871914
+0.002,16:34:19.911568
+0.021,16:34:20.987564
+0.001,16:34:22.029317
-0.029,16:34:23.130112
+0.003,16:34:24.171228
-0.035,16:34:25.288901
+0.001,16:34:26.327721
-0.013,16:34:27.430667
+0.002,16:34:28.471205
+0.002,16:34:29.510354
+0.002,16:34:30.546141
+0.002,16:34:31.588596
+0.001,16:34:32.630364
+0.002,16:34:33.671715
-0.043,16:34:34.801925
+0.003,16:34:35.839800
-0.035,16:34:36.955739
+0.001,16:34:37.993628
+0.001,16:34:39.031409
+0.001,16:34:40.072504
+0.028,16:34:41.161132
+0.003,16:34:42.203906
-0.016,16:34:43.304088
+0.002,16:34:44.344987
+0.002,16:34:45.380958
+0.003,16:34:46.424672
-0.006,16:34:47.500101
+0.002,16:34:48.537024
-0.000,16:34:49.589335
+0.003,16:34:50.630361
+0.002,16:34:51.667401
+0.003,16:34:52.702978
+0.003,16:34:53.741726
-0.035,16:34:54.854820
+0.003,16:34:55.897138
+0.003,16:34:56.937603
+0.003,16:34:57.977468
+0.002,16:34:59.019120
+0.001,16:35:00.062203
+0.001,16:35:01.103314
+0.002,16:35:02.140610
+0.002,16:35:03.180784
+0.041,16:35:04.298371
+0.004,16:35:05.339768
+0.001,16:35:06.375453
+0.001,16:35:07.416655
+0.001,16:35:08.456214
+0.003,16:35:09.496053
+0.002,16:35:10.537811
+0.003,16:35:11.670326
+0.002,16:35:12.711451
+0.004,16:35:13.753933
+0.003,16:35:14.797630
+0.001,16:35:15.838502
+0.001,16:35:16.879028
+0.001,16:35:17.917490
-0.037,16:35:19.039076
+0.002,16:35:20.076793
+0.002,16:35:21.119656
+0.003,16:35:22.160642
+0.003,16:35:23.199354
+0.003,16:35:24.239585
+0.004,16:35:25.280507
+0.003,16:35:26.321552
+0.003,16:35:27.362507
+0.003,16:35:28.403190
+0.003,16:35:29.440578
+0.002,16:35:30.481132
+0.004,16:35:31.530407
+0.002,16:35:32.566361
-0.030,16:35:33.683983
+0.001,16:35:34.724118
+0.002,16:35:35.761510
+0.002,16:35:36.804534
+0.001,16:35:37.846133
+0.001,16:35:38.886474
+0.001,16:35:39.924586
-0.017,16:35:41.055882
-0.091,16:35:42.284230
-0.041,16:35:43.413178
+0.002,16:35:44.452404
-0.025,16:35:45.566336
+0.001,16:35:46.610546
+0.002,16:35:47.646063
+0.001,16:35:48.685059
+0.002,16:35:49.726385
+0.002,16:35:50.767816
+0.001,16:35:51.807174
-0.044,16:35:52.934256
+0.002,16:35:53.974269
+0.002,16:35:55.016871
+0.003,16:35:56.061800
+0.003,16:35:57.103549
+0.003,16:35:58.144233
+0.007,16:35:59.191141
+0.003,16:36:00.232244
-0.019,16:36:01.330610
+0.003,16:36:02.372267
+0.004,16:36:03.408634
+0.002,16:36:04.453639
+0.002,16:36:05.494172
+0.002,16:36:06.538533
+0.001,16:36:07.580572
-0.021,16:36:08.705773
+0.001,16:36:09.746564
+0.002,16:36:10.790541
-0.002,16:36:11.839875
+0.002,16:36:12.882113
+0.063,16:36:13.949449
+0.094,16:36:15.000633
+0.102,16:36:16.075988
+0.089,16:36:17.119635
+0.090,16:36:18.163574
+0.069,16:36:19.265954
+0.089,16:36:20.309420
+0.089,16:36:21.353175
+0.089,16:36:22.398986
+0.089,16:36:23.441038
+0.000,16:36:24.575056
-0.043,16:36:25.704016
+0.002,16:36:26.753979
+0.001,16:36:27.793113
+0.001,16:36:28.838530
-0.008,16:36:29.902167
+0.000,16:36:30.941299
-0.029,16:36:32.052860
+0.001,16:36:33.093484
+0.002,16:36:34.132435
+0.001,16:36:35.175826
+0.002,16:36:36.213663
+0.001,16:36:37.251832
-0.000,16:36:38.294053
-0.044,16:36:39.425022
+0.001,16:36:40.471818
+0.003,16:36:41.515702
+0.002,16:36:42.563521
-0.001,16:36:43.605329
+0.085,16:36:44.819189
+0.049,16:36:45.982048
-0.029,16:36:47.218855
+0.065,16:36:48.388039
+0.023,16:36:49.477068
+0.016,16:36:50.545589
-0.011,16:36:51.629761
+0.000,16:36:52.681640
+0.009,16:36:53.747230
+0.002,16:36:54.792197
-0.013,16:36:55.862235
+0.002,16:36:56.903694
+0.002,16:36:57.941719
+0.002,16:36:58.984510
+0.001,16:37:00.024794
+0.003,16:37:01.068920
+0.002,16:37:02.112815
+0.002,16:37:03.155362
+0.001,16:37:04.198536
-0.047,16:37:05.337895
+0.002,16:37:06.377429
+0.003,16:37:07.417891
+0.004,16:37:08.463828
